function_name,input,expected_output,assignee,notes,testcomplete?
any_value,,,shabbir,v1 (native support),NA
approx_top_k,,,shabbir,v2,
approximate_count_distinct,,,shabbir,v2,
approximate_jaccard_index,,,shabbir,v2,
approximate_similarity,,,shabbir,v2,
array_agg,coffee,"coffee, iced tea, latte, tea",shabbir,v1(native support),NA
array_agg,iced tea,"coffee, iced tea, latte, tea",shabbir,v1(native support),NA
array_agg,latte,"coffee, iced tea, latte, tea",shabbir,v1(native support),NA
array_agg,tea,"coffee, iced tea, latte, tea",shabbir,v1(native support),NA
array_append,,,shabbir,v1 (native support),NA
array_cat,"coffee, iced tea","coffee, iced tea, latte, tea",shabbir,,
array_cat,"latte,tea","coffee, iced tea, latte, tea",shabbir,,
array_compact,,,shabbir,v1 (native support),NA
array_construct,,,shabbir,v1 (not supported),blocked
array_construct_compact,,,shabbir,,
array_insert,,,shabbir,,
array_intersection,,,shabbir,,
array_size,,,shabbir,v1(natively supported),NA
array_slice,,,shabbir,,
array_to_string,,,shabbir,,
arrayagg,,,shabbir,,
as_char,,,shabbir,,
as_date,,,shabbir,,
as_integer,,,shabbir,,
as_number,,,shabbir,,
as_varchar,,,shabbir,,
base64_decode_binary,,,shabbir,,
base64_decode_string,,,shabbir,,
base64_encode,,,shabbir,,
bitand,,,shabbir,,
booland_agg,,,shabbir,,
boolor_agg,,,shabbir,,
boolxor_agg,,,shabbir,,
charindex,,,shabbir,,
check_json,,,shabbir,,
compress,,,shabbir,,
contains,coffee,FALSE,shabbir,v1,yes
contains,iced tea,TRUE,shabbir,v1,yes
contains,latte,TRUE,shabbir,v1,yes
contains,tea,TRUE,shabbir,v1,yes
contains,NULL,NULL,shabbir,v1,yes
control.harmonize_compact,,,shabbir,,
convert_timezone,,,shabbir,v1,todo
date_from_parts,"{""col1"":""2023"",""col2"":""01"",""col3"":""10""}",10/1/2023,shabbir,v1,yes
dateadd,"{""col1"":""day"",""col2"":""7"",""col3"":""2023-01-10""}",17/1/2023,shabbir,v1,yes
dateadd,"{""col1"":""minute"",""col2"":""11"",""col3"":""2023-01-10 7:13""}",10/1/2023 7:24,shabbir,v1,yes
dayname,3/5/2023,Wed,shabbir,v1,yes
dayname,8/5/2023 11:15,Mon,shabbir,v1,yes
dayofweekiso,3/5/2023,3,shabbir,v1,yes
dayofweekiso,8/5/2023 11:15,1,shabbir,v1,yes
decrypt,,,shabbir,,
div0,,,shabbir,,
editdistance,,,shabbir,,
encrypt,,,shabbir,,
endswith,,,shabbir,,
enrich_placement_ad_type,,,shabbir,,
equal_null,,,shabbir,v1(naitve support),na
get,,,shabbir,,
get_ddl,,,shabbir,v2,
get_path,,,shabbir,,
getdate,,,shabbir,,
hash_agg,,,shabbir,,
hex_decode_binary,,,shabbir,,
hex_decode_string,,,shabbir,,
hll,,,shabbir,,
hll_estimate,,,shabbir,,
hll_export,,,shabbir,,
hll_import,,,shabbir,,
iff,,,shabbir,v1 (natively supported),NA
ilike,,,shabbir,,
insert,,,shabbir,,
is_boolean,,,shabbir,,
is_date,,,shabbir,,
is_integer,,,shabbir,,
is_null_value,,,shabbir,,
is_real,,,shabbir,,
is_role_in_session,,,shabbir,,
json_extract_path_text,,,shabbir,v1,yes
last_query_id,,,shabbir,,
last_transaction,,,shabbir,,
len,,,shabbir,v1 (native support),NA
listagg,,,shabbir,v1,test failure
md5_binary,Snowflake,EDF1439075A83A447FB8B630DDC9C8DE,roberto,v1,yes
md5_hex,,,roberto,v2,
md5_number_lower64,,,roberto,v2,
md5_number_upper64,,,roberto,v2,
median,,,roberto,v1 (native support),na
minhash,,,roberto,v2,
minhash_combine,,,roberto,v2,
mode,,,roberto,v2,
monthname,1/5/2015,May,roberto,v1,yes
monthname,3/4/2015 10:00,Apr,roberto,v1,yes
nullifzero,,,roberto,v2,
object_agg,,,roberto,v2,
object_construct,,,roberto,v1 (not supported),blocked
object_delete,,,roberto,v1 (not supported),blocked
object_insert,,,roberto,v1 (not supported),blocked
object_keys,,,roberto,v2,
objectagg,,,roberto,v2,
parse_json,,,roberto,v1 (not supported),blocked
parse_xml,,,roberto,v1 (not supported),blocked
percentile_cont,,,roberto,v1 (native support),NA
percentile_disc,,,roberto,v1 (native support),NA
previous_day,,,roberto,v2,
randstr,,,roberto,v2,
ratio_to_report,,,roberto,v2,
regexp,,,roberto,v2,
regexp_count,,,roberto,v1 (native support),NA
regexp_instr,,,roberto,v1 (native support),NA
regexp_like,,,roberto,v1 (native support),NA
regexp_substr,,,roberto,v1 (native support),NA
seq1,,,roberto,v2,
seq2,,,roberto,v2,
seq4,,,roberto,v1 (no test needed),NA
seq8,,,roberto,v2,
sha1_hex,,,roberto,v2,
sha2_binary,,,roberto,v2,
sha2_hex,,,roberto,v2,
split_part,"{11.22.33, ""."", 0}",11,roberto,v1(natively supported),NA
split_part,"{11.22.33, ""."", 1}",11,roberto,v1(natively supported),NA
split_part,"{11.22.33, ""."", 2}",22,roberto,v1(natively supported),NA
split_part,"{11.22.33, ""."", 3}",33,roberto,v1(natively supported),NA
split_part,"{11.22.33, ""."", 4}",,roberto,v1(natively supported),NA
split_part,"{11.22.33, ""."", -1}",33,roberto,v1(natively supported),NA
split_part,"{11.22.33, ""."", -2}",22,roberto,v1(natively supported),NA
split_part,"{11.22.33, ""."", -3}",11,roberto,v1(natively supported),NA
split_part,"{11.22.33, ""."", -4}",,roberto,v1(natively supported),NA
square,,,roberto,v2,
st_intersects,,,roberto,v2,
standardize,,,roberto,v2,
startswith,coffee,FALSE,roberto,v1,yes
startswith,iced tea,FALSE,roberto,v1,yes
startswith,latte,FALSE,roberto,v1,yes
startswith,tea,TRUE,roberto,v1,yes
startswith,NULL,NULL,roberto,v1,yes
strtok,,,roberto,v2,
strtok_to_array,"{""col1:""a.b.c"",""col2"", "".""}","[""a"", ""b"", ""c""]",roberto,v1,test failure
strtok_to_array,"{""col1"":""user@snowflake.com"", ""col2"":"".@""}","[""user"",""snowflake"",""com""]",,,
sysdate,,,roberto,v2,
systimestamp,,,roberto,v2,
time,,,roberto,v2,
time_slice,,,roberto,v2,
timeadd,"{""col1"":""year"", ""col2"":2, ""col3"":""2013-05-08""}","""2015-05-08""",roberto,v2,
timeadd,"{""col1"":""hour"", ""col2"":2, ""col3"": ""2013-04-05 02:00:00.000""}","""2015-05-08""",roberto,v2,
timediff,"{""col1"":""year"", ""col2"":""2017-01-01"",""col3"":""2019-01-01""}",2,roberto,v1,yes
timediff,"{""col1"":""month"", ""col2"":""2017-01-01"", ""col3"":""2017-12-31""}",11,roberto,v1,yes
timestamp_from_parts,,,roberto,v2,
timestamp_ntz_from_parts,,,roberto,v2,
timestampadd,"{""col1"":year"", ""col2"": 2, ""col3"":""2013-05-08""}","""2015-05-08""",roberto,v1,test failure
timestampadd,"{""col1"":""hour"", ""col2"":2, ""col3"":""2013-04-05 00:00:00.000""}","""2013-04-05 02:00:00""",roberto,v1,test failure
timestampdiff,"{""col1"":""year"",""col2"": ""2017-01-01"",""col3"": ""2019-01-01""}",2,roberto,v1,yes
timestampdiff,"{""col1"":""month"", ""col2"":""2017-01-01"",""col3"": ""2017-12-31""}",11,roberto,v1,yes
to_array,1,[1],roberto,v1,yes
to_array,3,[3],,,yes
to_binary,"(""col1"": ""SNOW"", ""col2"":utf-8"")",534E4F57,roberto,v1 (natively supported),NA
to_boolean,yes,TRUE,roberto,v1,yes
to_boolean,no,FALSE,,,yes
to_boolean,NULL,NULL,,,yes
to_boolean,1,TRUE,,,yes
to_boolean,0,FALSE,,,yes
to_boolean,NULL,NULL,,,yes
